original_station_name,original_station_query_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Howard,Howard Station Chicago,42.0180892,-87.6730137,"Howard CTA Station, North Paulina Street, Chicago, IL 60626, United States of America",Howard CTA Station,,North Paulina Street,60626,,Rogers Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jarvis,Jarvis Station Chicago,42.0160012,-87.669268,"Jarvis, 1523 West Jarvis Avenue, Chicago, IL 60626, United States of America",Jarvis,1523,West Jarvis Avenue,60626,Chicago,Rogers Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Morse,Morse Station Chicago,42.0080864,-87.6659686,"Morse, 1358 West Morse Avenue, Chicago, IL 60626, United States of America",Morse,1358,West Morse Avenue,60626,Chicago,Rogers Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loyola,Loyola Station Chicago,42.00224705,-87.66124592353347,"Hampton Inn Chicago North-Loyola Station, 1209 West Albion Avenue, Chicago, IL 60626, United States of America",Hampton Inn Chicago North-Loyola Station,1209,West Albion Avenue,60626,Chicago,Rogers Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Granville,Granville Station Chicago,41.9943851,-87.6591827,"Granville, 1119 West Granville Avenue, Chicago, IL 60660, United States of America",Granville,1119,West Granville Avenue,60660,Edgewater Glen,Edgewater,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thorndale,Thorndale Station Chicago,41.9900986,-87.6592543,"Thorndale Red Line Station, West Thorndale Avenue, Chicago, IL 60660, United States of America",Thorndale Red Line Station,,West Thorndale Avenue,60660,Edgewater Glen,Edgewater,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bryn Mawr,Bryn Mawr Station Chicago,41.9835208,-87.6588407,"Bryn Mawr, 1119 West Bryn Mawr Avenue, Chicago, IL 60660, United States of America",Bryn Mawr,1119,West Bryn Mawr Avenue,60660,Chicago,Edgewater,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Berwyn,Berwyn Station Chicago,41.85177,-87.7565827,"54th/Cermak, 2151 South 54th Avenue, Cicero, IL 60804, United States of America",54th/Cermak,2151,South 54th Avenue,60804,,Austin,Cicero,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Argyle,Argyle Station Chicago,41.9734115,-87.6585658,"Argyle, 1118 West Argyle Street, Chicago, IL 60640, United States of America",Argyle,1118,West Argyle Street,60640,Chicago,Uptown,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lawrence,Lawrence Station Chicago,41.87897,-87.66063,"Chicago, IL, United States of America",,,,,Chicago,,Chicago,Cook County,Illinois,IL,United States,us,0,,,https://www.whosonfirst.org/docs/licenses/
Wilson,Wilson Station Chicago,41.966382749999994,-87.64046280603031,"Wilson Comfort Station, North Simonds Drive, Chicago, IL 60613, United States of America",Wilson Comfort Station,,North Simonds Drive,60613,Chicago,Uptown,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sheridan,Sheridan Station Chicago,41.9538873,-87.654928,"Sheridan, 3940 North Sheridan Road, Chicago, IL 60613, United States of America",Sheridan,3940,North Sheridan Road,60613,Wrigleyville,Lake View,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Addison-North Main,Addison-North Main Station Chicago,34.881211,-82.387724,"North Main Fire Station, 801 Rutherford Road, Greenville, SC 29609, United States of America",North Main Fire Station,801,Rutherford Road,29609,,,Greenville,Greenville County,South Carolina,SC,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belmont-North Main,Belmont-North Main Station Chicago,34.881211,-82.387724,"North Main Fire Station, 801 Rutherford Road, Greenville, SC 29609, United States of America",North Main Fire Station,801,Rutherford Road,29609,,,Greenville,Greenville County,South Carolina,SC,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fullerton,Fullerton Station Chicago,41.92528215,-87.65281546360043,"Fullerton CTA Station, 943 West Fullerton Avenue, Chicago, IL 60614, United States of America",Fullerton CTA Station,943,West Fullerton Avenue,60614,Chicago,Lincoln Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North/Clybourn,North/Clybourn Station Chicago,41.9105593,-87.6490089,"North/Clybourn, 1599 North Clybourn Avenue, Chicago, IL 60642, United States of America",North/Clybourn,1599,North Clybourn Avenue,60642,,Near North Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clark/Division,Clark/Division Station Chicago,41.9038971,-87.6322077,"Clark/Division, West Division Street, Chicago, IL 60610, United States of America",Clark/Division,,West Division Street,60610,Gold Coast,Near North Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chicago/State,Chicago/State Station Chicago,41.8966529,-87.6281533,"Chicago, 800 North State Street, Chicago, IL 60654, United States of America",Chicago,800,North State Street,60654,Magnificent Mile,Near North Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grand/State,Grand/State Station Chicago,41.8918117,-87.6280753,"Grand, 521 North State Street, Chicago, IL 60654, United States of America",Grand,521,North State Street,60654,River North,Near North Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
